datetime,cpu,mem
Thu Jul 23 15:07:13 UTC 2020,12,3862746
Thu Jul 23 15:07:17 UTC 2020,18,3855287
Thu Jul 23 15:07:20 UTC 2020,18,4106039
Thu Jul 23 15:07:24 UTC 2020,47,4326395
Thu Jul 23 15:07:28 UTC 2020,47,4356909
Thu Jul 23 15:07:32 UTC 2020,74,4364044
Thu Jul 23 15:07:36 UTC 2020,74,4521038
Thu Jul 23 15:07:40 UTC 2020,77,4537221
Thu Jul 23 15:07:44 UTC 2020,77,4538130
Thu Jul 23 15:07:48 UTC 2020,69,4604625
Thu Jul 23 15:07:51 UTC 2020,69,4543488
Thu Jul 23 15:07:55 UTC 2020,68,4579682
Thu Jul 23 15:07:59 UTC 2020,68,4565171
Thu Jul 23 15:08:03 UTC 2020,67,4617377
Thu Jul 23 15:08:07 UTC 2020,67,4594025
Thu Jul 23 15:08:11 UTC 2020,71,4516022
Thu Jul 23 15:08:14 UTC 2020,71,4560330
Thu Jul 23 15:08:18 UTC 2020,67,4601306
Thu Jul 23 15:08:22 UTC 2020,67,4527746
Thu Jul 23 15:08:26 UTC 2020,69,4544636
Thu Jul 23 15:08:30 UTC 2020,69,4652961
Thu Jul 23 15:08:34 UTC 2020,78,4501871
Thu Jul 23 15:08:38 UTC 2020,78,4613490
Thu Jul 23 15:08:42 UTC 2020,74,4597939
Thu Jul 23 15:08:46 UTC 2020,74,4691745
Thu Jul 23 15:08:50 UTC 2020,70,4579696
Thu Jul 23 15:08:54 UTC 2020,70,4711035
Thu Jul 23 15:08:58 UTC 2020,71,4656687
Thu Jul 23 15:09:03 UTC 2020,71,4718927
Thu Jul 23 15:09:08 UTC 2020,73,4679602
Thu Jul 23 15:09:12 UTC 2020,73,4745770
Thu Jul 23 15:09:16 UTC 2020,71,4660790
Thu Jul 23 15:09:21 UTC 2020,71,4578662
Thu Jul 23 15:09:25 UTC 2020,69,4592563
Thu Jul 23 15:09:30 UTC 2020,69,4641212
Thu Jul 23 15:09:34 UTC 2020,68,4540392
Thu Jul 23 15:09:38 UTC 2020,68,4615229
Thu Jul 23 15:09:43 UTC 2020,69,4624363
Thu Jul 23 15:09:47 UTC 2020,69,4671563
Thu Jul 23 15:09:52 UTC 2020,68,4579672
Thu Jul 23 15:09:56 UTC 2020,68,4533389
Thu Jul 23 15:10:00 UTC 2020,70,4622473
Thu Jul 23 15:10:05 UTC 2020,70,4658770
Thu Jul 23 15:10:09 UTC 2020,70,4572363
Thu Jul 23 15:10:13 UTC 2020,70,4492587
Thu Jul 23 15:10:18 UTC 2020,68,4568017
Thu Jul 23 15:10:22 UTC 2020,68,4526406
Thu Jul 23 15:10:26 UTC 2020,68,4628304
Thu Jul 23 15:10:31 UTC 2020,68,4603555
