Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%]
4036,5357980,4055,250553,250553,4058,0
9017,5527144,9029,0,0,9040,27
14000,5530784,14011,563745,563745,14019,51
19043,5502020,19078,1064853,1064853,19086,47
24038,5507968,24047,981335,981335,24058,53
29026,5490344,29035,3245298,3245298,29044,64
34015,5507848,34028,3918851,3918851,34040,67
39010,5433096,39022,6285678,6285678,39033,64
44044,5479656,44053,6004230,6004230,44061,69
49026,5507284,49037,4225011,4225011,49047,68
54017,5508172,54027,6379494,6379494,54036,65
59006,5473348,59016,3980083,3980083,59024,65
64041,5525236,64055,3980083,3980083,64064,68
69025,5386020,69036,4163779,4163779,69045,69
74007,5369264,74018,6473310,6473310,74026,59
79007,5502664,79012,3612690,3612690,79016,55
84043,5514792,84056,2247366,2247366,84067,66
89025,5497708,89042,6191862,6191862,89051,64
94014,5458948,94024,6004230,6004230,94031,59
99056,5526516,99067,6190209,6190209,99080,53
104042,5481988,104057,3245298,3245298,104067,68
109026,5491244,109039,4163779,4163779,109050,66
114011,5494168,114022,4041315,4041315,114031,69
119047,5496244,119058,6473310,6473310,119069,65
124034,5349288,124045,3980083,3980083,124055,74
129032,5421768,129042,4531171,4531171,129049,72
134021,5400496,134030,4408707,4408707,134041,71
139057,5441436,139065,4347475,4347475,139073,74
144038,5434388,144047,4531171,4531171,144055,75
149023,5467120,149034,4592403,4592403,149040,71
154057,5463604,154066,4347475,4347475,154075,68
159043,5492512,159052,4163779,4163779,159058,63
164033,5528828,164036,3857619,3857619,164040,72
169024,5504244,169035,4408707,4408707,169045,70
174063,5379700,174073,4286243,4286243,174081,73
179051,5378880,179061,4469939,4469939,179068,73
184035,5382108,184044,4469939,4469939,184062,76
189018,5356500,189026,4653635,4653635,189033,75
194064,5429152,194072,4592403,4592403,194077,71
199047,5399280,199058,4347475,4347475,199064,70
204032,5394156,204042,4286243,4286243,204050,73
209023,5431824,209027,4469939,4469939,209039,74
214060,5485248,214073,4531171,4531171,214081,76
219047,5423104,219054,4653635,4653635,219063,46
224034,5524176,224044,960455,960455,224054,79
229028,5287464,229038,4837331,4837331,229061,73
234027,5333552,234054,4469939,4469939,234066,55
239060,5324012,239073,3367762,3367762,239083,78
244043,5363428,244054,4776099,4776099,244064,78
249028,5388012,249038,4776099,4776099,249045,74
254062,5392484,254075,4531171,4531171,254084,77
259046,5401104,259053,4714867,4714867,259060,52
264032,5374328,264053,3184066,3184066,264063,69
269065,5415056,269073,4225011,4225011,269079,73
274050,5414120,274059,4469939,4469939,274067,74
279035,5322412,279045,4531171,4531171,279052,76
284072,5325612,284081,4653635,4653635,284089,75
289059,5423040,289067,4592403,4592403,289076,84
294041,5371716,294054,5143492,5143492,294067,80
299029,5414896,299042,4898564,4898564,299049,85
304029,5489972,304039,5204724,5204724,304046,83
309061,5458764,309069,5082260,5082260,309076,75
314046,5507172,314054,4592403,4592403,314061,79
319078,5461580,319087,4837331,4837331,319094,79
324061,5517620,324069,4837331,4837331,324076,83
329041,5441864,329051,5082260,5082260,329057,84
334075,5338140,334084,5143492,5143492,334091,85
339054,5381000,339061,5204724,5204724,339067,89
344035,5378120,344045,5449652,5449652,344056,92
349067,5445784,349076,5633348,5633348,349083,89
354050,5380048,354059,5449652,5449652,354065,89
359084,5469104,359093,5449652,5449652,359101,90
364067,5399940,364075,5510884,5510884,364083,90
369053,5507532,369065,5510884,5510884,369071,89
374082,5502460,374092,5449652,5449652,374099,90
379067,5470528,379075,5510884,5510884,379083,93
384052,5391528,384062,5694580,5694580,384068,86
389041,5374352,389051,5265956,5265956,389059,91
394075,5430416,394084,5572116,5572116,394091,93
399060,5417528,399080,5694580,5694580,399090,85
404044,5411072,404053,5204724,5204724,404058,76
409072,5420940,409081,4653635,4653635,409090,79
414058,5453548,414066,4837331,4837331,414072,73
419091,5460876,419101,4469939,4469939,419108,86
424073,5407564,424081,5265956,5265956,424088,83
429056,5504152,429064,5082260,5082260,429071,78
434090,5484480,434098,4776099,4776099,434106,75
439070,5360988,439078,4592403,4592403,439085,76
444053,5346448,444060,4653635,4653635,444067,79
449088,5415724,449097,4837331,4837331,449110,80
454069,5397452,454077,4898564,4898564,454085,38
459051,5448324,459059,793420,793420,459066,38
464080,5422472,464088,793420,793420,464095,39
469061,5437824,469066,814299,814299,469074,35
474052,5444776,474058,1430142,1430142,474064,75
479084,5444640,479091,3064590,3064590,479098,48
484065,5463844,484069,1002214,1002214,484078,74
489101,5352028,489110,4531171,4531171,489116,75
494080,5385052,494092,4592403,4592403,494101,70
499059,5376624,499065,4286243,4286243,499072,82
504090,5421728,504098,5021028,5021028,504108,76
509076,5446144,509086,4653635,4653635,509095,77
514059,5506656,514071,4714867,4714867,514090,78
519092,5485948,519100,4776099,4776099,519105,82
524073,5505104,524082,5021028,5021028,524090,79
529106,5409496,529116,4837331,4837331,529122,80
534096,5502048,534103,4898564,4898564,534113,82
539077,5480788,539083,5021028,5021028,539092,78
544108,5362872,544116,4776099,4776099,544125,78
549094,5343596,549103,4776099,4776099,549112,76
554078,5334496,554088,4653635,4653635,554096,77
559061,5381180,559065,4714867,4714867,559072,77
564093,5356612,564108,4714867,4714867,564115,77
569081,5410492,569089,4714867,4714867,569096,78
574067,5401436,574074,4776099,4776099,574082,80
579099,5474180,579109,4898564,4898564,579114,74
584080,5456380,584087,4531171,4531171,584096,69
589070,5504404,589099,4225011,4225011,589107,79
594101,5398480,594105,4837331,4837331,594109,83
599084,5397356,599093,5082260,5082260,599101,78
604115,5496428,604125,4776099,4776099,604134,80
609100,5514596,609124,4898564,4898564,609127,84
614082,5446452,614090,5143492,5143492,614097,85
619116,5467104,619126,5204724,5204724,619133,86
624095,5427444,624105,5265956,5265956,624114,78
629076,5428712,629085,4776099,4776099,629093,81
634107,5483004,634117,4959796,4959796,634120,80
