datetime,cpu,mem
Thu Jul 23 16:03:54 UTC 2020,28,3929659
Thu Jul 23 16:03:58 UTC 2020,22,3936081
Thu Jul 23 16:04:02 UTC 2020,22,4191037
Thu Jul 23 16:04:06 UTC 2020,49,4447559
Thu Jul 23 16:04:10 UTC 2020,49,4462312
Thu Jul 23 16:04:14 UTC 2020,72,4531525
Thu Jul 23 16:04:18 UTC 2020,72,4706981
Thu Jul 23 16:04:22 UTC 2020,74,4663474
Thu Jul 23 16:04:26 UTC 2020,74,4740290
Thu Jul 23 16:04:30 UTC 2020,72,4726215
Thu Jul 23 16:04:34 UTC 2020,72,4728262
Thu Jul 23 16:04:37 UTC 2020,67,4770995
Thu Jul 23 16:04:41 UTC 2020,67,4719984
Thu Jul 23 16:04:45 UTC 2020,66,4692654
Thu Jul 23 16:04:49 UTC 2020,66,4710645
Thu Jul 23 16:04:53 UTC 2020,76,4726877
Thu Jul 23 16:04:57 UTC 2020,76,4748338
Thu Jul 23 16:05:01 UTC 2020,72,4747072
Thu Jul 23 16:05:04 UTC 2020,72,4758594
Thu Jul 23 16:05:08 UTC 2020,71,4747935
Thu Jul 23 16:05:12 UTC 2020,71,4714669
Thu Jul 23 16:05:17 UTC 2020,78,4755585
Thu Jul 23 16:05:20 UTC 2020,78,4773728
Thu Jul 23 16:05:24 UTC 2020,72,4736894
Thu Jul 23 16:05:28 UTC 2020,72,4671342
Thu Jul 23 16:05:33 UTC 2020,71,4748316
Thu Jul 23 16:05:37 UTC 2020,71,4729628
Thu Jul 23 16:05:41 UTC 2020,70,4720398
Thu Jul 23 16:05:45 UTC 2020,70,4716424
Thu Jul 23 16:05:49 UTC 2020,70,4749379
Thu Jul 23 16:05:54 UTC 2020,70,4717527
Thu Jul 23 16:05:58 UTC 2020,70,4777358
Thu Jul 23 16:06:02 UTC 2020,70,4761686
Thu Jul 23 16:06:06 UTC 2020,71,4725245
Thu Jul 23 16:06:10 UTC 2020,71,4803781
Thu Jul 23 16:06:15 UTC 2020,72,4674118
Thu Jul 23 16:06:19 UTC 2020,72,4667076
Thu Jul 23 16:06:23 UTC 2020,70,4699655
Thu Jul 23 16:06:27 UTC 2020,70,4686480
Thu Jul 23 16:06:32 UTC 2020,67,4759785
Thu Jul 23 16:06:36 UTC 2020,67,4740520
Thu Jul 23 16:06:40 UTC 2020,68,4776960
Thu Jul 23 16:06:45 UTC 2020,68,4794809
Thu Jul 23 16:06:49 UTC 2020,68,4834048
Thu Jul 23 16:06:53 UTC 2020,69,4734763
Thu Jul 23 16:06:57 UTC 2020,69,4817170
Thu Jul 23 16:07:02 UTC 2020,69,4725779
Thu Jul 23 16:07:06 UTC 2020,69,4875185
Thu Jul 23 16:07:11 UTC 2020,70,4708136
Thu Jul 23 16:07:15 UTC 2020,70,4714196
Thu Jul 23 16:07:19 UTC 2020,68,4732316
Thu Jul 23 16:07:24 UTC 2020,68,4691752
Thu Jul 23 16:07:28 UTC 2020,70,4768102
Thu Jul 23 16:07:32 UTC 2020,70,4804396
Thu Jul 23 16:07:36 UTC 2020,68,4779070
Thu Jul 23 16:07:41 UTC 2020,68,4837255
Thu Jul 23 16:07:45 UTC 2020,72,4829214
Thu Jul 23 16:07:50 UTC 2020,72,4821739
Thu Jul 23 16:07:54 UTC 2020,69,4734940
Thu Jul 23 16:07:58 UTC 2020,69,4747412
Thu Jul 23 16:08:03 UTC 2020,68,4755882
Thu Jul 23 16:08:07 UTC 2020,68,4718116
Thu Jul 23 16:08:12 UTC 2020,68,4646816
Thu Jul 23 16:08:16 UTC 2020,68,4761519
Thu Jul 23 16:08:20 UTC 2020,69,4729595
Thu Jul 23 16:08:25 UTC 2020,69,4754753
Thu Jul 23 16:08:29 UTC 2020,71,4699548
Thu Jul 23 16:08:33 UTC 2020,71,4752611
Thu Jul 23 16:08:37 UTC 2020,67,4765425
Thu Jul 23 16:08:42 UTC 2020,67,4741732
Thu Jul 23 16:08:46 UTC 2020,67,4785971
