Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%]
3992,5350556,4012,0,0,4015,12
8975,5527812,8988,490334,490334,8998,31
13953,5520928,13963,647263,647263,13971,51
18996,5485832,19010,1064853,1064853,19019,39
23986,5505196,24001,814299,814299,24011,63
28971,5524224,28984,3857619,3857619,28991,69
33960,5461688,33970,6473310,6473310,33980,65
38999,5460804,39011,3980083,3980083,39022,64
43994,5457376,44003,3918851,3918851,44012,62
48984,5513276,48995,3796387,3796387,49003,73
53972,5518328,53983,4469939,4469939,53994,68
58960,5515060,58975,6379494,6379494,58986,68
63998,5495516,64008,4163779,4163779,64017,69
68983,5494276,69003,6473310,6473310,69020,69
73968,5439616,73978,4225011,4225011,73988,62
79004,5525660,79014,3796387,3796387,79019,66
83992,5508420,84002,4041315,4041315,84015,64
88978,5435076,88989,2615116,2615116,88997,68
93967,5339756,93977,4163779,4163779,93985,39
99004,5422648,99017,814299,814299,99025,38
103985,5423464,104000,793420,793420,104021,39
108969,5404368,108981,814299,814299,108989,40
114003,5457064,114020,835179,835179,114028,39
118985,5505948,118996,814299,814299,119005,40
123972,5472544,123984,835179,835179,123995,38
129007,5517188,129019,793420,793420,129026,39
133994,5515292,134002,814299,814299,134015,39
138980,5418652,138989,814299,814299,138997,39
144013,5371400,144023,814299,814299,144033,39
148997,5373436,149007,814299,814299,149016,70
153986,5420060,153996,4286243,4286243,154006,68
158971,5478920,158980,4163779,4163779,158994,69
164007,5465100,164019,4225011,4225011,164028,66
168994,5449068,169004,4041315,4041315,169011,69
173979,5511516,173989,4225011,4225011,173997,70
178974,5494784,178986,4286243,4286243,178994,72
184007,5527500,184011,4408707,4408707,184014,70
189000,5466756,189013,4286243,4286243,189026,66
193996,5379428,194004,4041315,4041315,194014,66
198978,5417340,198990,4041315,4041315,198999,70
204018,5377548,204035,4286243,4286243,204043,69
209003,5345200,209012,4225011,4225011,209021,71
213994,5317696,213999,4347475,4347475,214009,69
218980,5457756,218989,4225011,4225011,218994,69
224019,5377572,224028,4225011,4225011,224036,68
229006,5478280,229016,4163779,4163779,229024,67
233991,5506508,234001,2737700,2737700,234011,67
238972,5523004,238983,4102547,4102547,238992,66
244012,5423780,244025,4041315,4041315,244039,70
248997,5372524,249003,4286243,4286243,249010,72
253988,5369608,253998,4408707,4408707,254007,71
259022,5400100,259031,4347475,4347475,259039,69
264007,5381356,264021,2819423,2819423,264030,66
268997,5450304,269007,4041315,4041315,269017,66
273977,5376564,273989,4041315,4041315,274001,67
279011,5427468,279019,4102547,4102547,279027,67
283994,5439472,284005,4102547,4102547,284012,71
288980,5444288,288989,4347475,4347475,288996,64
294014,5489024,294022,3918851,3918851,294028,72
299001,5429272,299011,2942006,2942006,299019,66
303980,5373496,303986,4041315,4041315,303993,69
309020,5383356,309029,4225011,4225011,309043,70
314001,5409280,314014,4286243,4286243,314021,68
319031,5387720,319039,4163779,4163779,319048,69
324013,5372656,324023,4225011,4225011,324030,68
328999,5519340,329018,4163779,4163779,329025,70
334031,5492040,334040,4286243,4286243,334046,65
339011,5358484,339021,3980083,3980083,339030,72
343999,5524464,344006,4408707,4408707,344011,68
349033,5372948,349043,4163779,4163779,349051,72
354017,5290060,354028,4408707,4408707,354036,70
359005,5322852,359015,2860284,2860284,359022,70
364033,5340172,364042,4286243,4286243,364049,66
369019,5365788,369028,4041315,4041315,369036,65
374001,5442052,374009,3980083,3980083,374020,70
379035,5365136,379042,4286243,4286243,379050,71
384018,5494848,384028,4347475,4347475,384036,69
389003,5431972,389012,4225011,4225011,389020,70
393994,5416020,394003,4286243,4286243,394012,67
399022,5483704,399033,4102547,4102547,399039,68
404014,5274712,404022,4163779,4163779,404030,72
409001,5349672,409014,4408707,4408707,409023,70
414030,5356468,414038,4286243,4286243,414044,70
419020,5351004,419030,4286243,4286243,419041,69
424004,5409916,424013,4225011,4225011,424019,66
429040,5461700,429057,4041315,4041315,429063,67
434024,5470424,434034,4102547,4102547,434042,72
439012,5519308,439022,4408707,4408707,439030,71
444044,5512252,444053,4347475,4347475,444059,67
449026,5490720,449034,4102547,4102547,449042,71
454005,5415768,454014,4347475,4347475,454020,69
459035,5322380,459043,4225011,4225011,459051,67
464014,5388168,464023,4102547,4102547,464033,67
469049,5437920,469058,4102547,4102547,469065,71
474033,5437008,474040,4347475,4347475,474045,72
479024,5476564,479034,4408707,4408707,479045,68
484007,5496936,484016,4163779,4163779,484024,69
489040,5494032,489044,4225011,4225011,489047,71
494027,5414448,494038,4347475,4347475,494051,68
499004,5501876,499012,4163779,4163779,499018,69
504035,5451300,504045,4225011,4225011,504053,69
509024,5359440,509033,4225011,4225011,509048,69
514054,5332748,514062,4225011,4225011,514070,68
519033,5392536,519043,4163779,4163779,519052,70
524020,5442408,524028,4286243,4286243,524035,67
529054,5443652,529064,4102547,4102547,529072,69
534035,5507112,534045,4225011,4225011,534054,70
539015,5477712,539025,4286243,4286243,539035,66
544052,5491704,544067,4041315,4041315,544075,72
549032,5495184,549043,4408707,4408707,549052,68
554015,5476424,554023,4163779,4163779,554031,73
559047,5446196,559055,4469939,4469939,559071,65
564027,5414352,564040,3980083,3980083,564047,63
569063,5350352,569079,3857619,3857619,569088,67
574057,5368764,574066,4102547,4102547,574072,69
579037,5441132,579044,4225011,4225011,579050,69
584017,5406748,584035,4225011,4225011,584042,68
589043,5406004,589052,4163779,4163779,589060,74
594025,5395224,594035,4531171,4531171,594043,68
599055,5398816,599063,4163779,4163779,599070,69
604037,5442348,604050,4225011,4225011,604057,67
609064,5407900,609076,4102547,4102547,609089,68
614047,5343748,614058,4163779,4163779,614067,72
619035,5310524,619043,4408707,4408707,619051,67
624019,5351556,624027,4102547,4102547,624034,70
629053,5260212,629062,4286243,4286243,629070,70
634034,5287212,634041,4286243,4286243,634049,73
