datetime,cpu,mem
Thu Jul 23 15:23:22 UTC 2020,32,3756092
Thu Jul 23 15:23:26 UTC 2020,32,3833376
Thu Jul 23 15:23:30 UTC 2020,32,4017868
Thu Jul 23 15:23:35 UTC 2020,32,4337419
Thu Jul 23 15:23:39 UTC 2020,70,4342601
Thu Jul 23 15:23:44 UTC 2020,70,4378053
Thu Jul 23 15:23:48 UTC 2020,76,4495953
Thu Jul 23 15:23:53 UTC 2020,76,4510918
Thu Jul 23 15:23:57 UTC 2020,75,4567460
Thu Jul 23 15:24:02 UTC 2020,75,4585637
Thu Jul 23 15:24:06 UTC 2020,70,4531608
Thu Jul 23 15:24:10 UTC 2020,70,4529595
Thu Jul 23 15:24:15 UTC 2020,69,4574681
Thu Jul 23 15:24:19 UTC 2020,69,4566864
Thu Jul 23 15:24:24 UTC 2020,69,4596393
Thu Jul 23 15:24:28 UTC 2020,69,4604490
Thu Jul 23 15:24:32 UTC 2020,71,4560641
Thu Jul 23 15:24:37 UTC 2020,71,4589618
Thu Jul 23 15:24:41 UTC 2020,71,4577405
Thu Jul 23 15:24:46 UTC 2020,71,4662108
Thu Jul 23 15:24:50 UTC 2020,70,4632766
Thu Jul 23 15:24:54 UTC 2020,70,4570529
Thu Jul 23 15:24:59 UTC 2020,70,4474856
Thu Jul 23 15:25:03 UTC 2020,70,4549350
Thu Jul 23 15:25:08 UTC 2020,70,4654322
Thu Jul 23 15:25:12 UTC 2020,70,4547218
Thu Jul 23 15:25:16 UTC 2020,71,4594034
Thu Jul 23 15:25:21 UTC 2020,71,4550829
Thu Jul 23 15:25:25 UTC 2020,71,4618458
Thu Jul 23 15:25:30 UTC 2020,71,4607663
Thu Jul 23 15:25:34 UTC 2020,64,4614374
Thu Jul 23 15:25:39 UTC 2020,64,4605702
Thu Jul 23 15:25:43 UTC 2020,66,4511239
Thu Jul 23 15:25:47 UTC 2020,66,4668417
Thu Jul 23 15:25:51 UTC 2020,66,4640631
Thu Jul 23 15:25:56 UTC 2020,66,4651247
Thu Jul 23 15:26:00 UTC 2020,70,4491476
