Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%]
3953,5339104,3979,0,0,3982,11
8985,5460184,9000,449473,449473,9012,18
13967,5508712,13979,1102176,1102176,13989,46
18998,5501564,19008,960455,960455,19016,51
23955,5526548,23965,1064853,1064853,23978,33
29001,5491404,29015,689022,689022,29026,56
33986,5433492,34007,3428994,3428994,34017,79
38976,5471308,38987,4837331,4837331,38996,77
43961,5448576,43971,4714867,4714867,43979,85
48993,5501208,49003,5204724,5204724,49012,82
53985,5456524,53997,5021028,5021028,54004,86
58979,5516888,58990,5265956,5265956,59005,54
63963,5506640,63975,3306530,3306530,63984,70
68998,5502560,69012,4286243,4286243,69021,77
73986,5459360,73998,4714867,4714867,74007,53
78967,5462544,78978,3245298,3245298,78985,75
84002,5496508,84012,4592403,4592403,84021,74
88988,5407116,89000,4531171,4531171,89007,79
93978,5380652,93991,4837331,4837331,94000,31
99011,5390560,99019,647263,647263,99028,49
103994,5482748,104004,1023094,1023094,104013,40
108983,5368004,108997,835179,835179,109005,39
113987,5494200,114007,814299,814299,114015,38
118973,5444404,118983,793420,793420,118989,40
124004,5445740,124015,835179,835179,124025,40
128988,5497900,128997,835179,835179,129004,38
133968,5501360,133980,793420,793420,133988,39
139010,5513096,139020,814299,814299,139032,36
143994,5467152,144005,751661,751661,144013,39
148985,5528192,148997,2388049,2388049,149006,38
153970,5445976,153987,793420,793420,153995,82
159004,5251996,159012,5021028,5021028,159022,81
163987,5288480,163995,4959796,4959796,164004,78
169020,5355420,169028,4776099,4776099,169036,81
174006,5333832,174018,4959796,4959796,174026,79
178990,5357508,179000,4837331,4837331,179007,85
183979,5399536,183988,5204724,5204724,183997,82
189014,5476980,189025,5021028,5021028,189032,87
194001,5455020,194018,5327188,5327188,194028,87
198989,5521828,199006,5327188,5327188,199014,87
204023,5528612,204034,5327188,5327188,204042,83
209009,5459652,209018,5082260,5082260,209027,87
213989,5418932,213997,5327188,5327188,214003,31
218981,5330984,218989,647263,647263,218997,29
224025,5372164,224039,605504,605504,224050,34
229006,5410452,229015,709902,709902,229022,33
233988,5367288,233997,1348419,1348419,234005,32
238979,5520804,238988,668143,668143,238994,32
244017,5442068,244025,668143,668143,244030,32
249002,5369960,249017,668143,668143,249023,33
253992,5406532,254003,689022,689022,254012,30
258981,5469436,258990,626384,626384,258997,35
264014,5420684,264021,730781,730781,264027,30
268997,5419848,269003,626384,626384,269010,26
274029,5430032,274038,542866,542866,274045,51
279014,5472220,279023,1064853,1064853,279032,77
284005,5445068,284017,4714867,4714867,284024,72
288988,5483800,288998,4408707,4408707,289005,74
294028,5381120,294037,4531171,4531171,294045,78
299012,5379168,299020,4776099,4776099,299025,80
303998,5428348,304008,4898564,4898564,304017,79
308989,5385868,308996,4837331,4837331,309002,80
314027,5472392,314035,4898564,4898564,314043,80
319007,5391412,319017,4898564,4898564,319024,82
323987,5443984,323995,5021028,5021028,324002,79
329017,5404560,329024,4837331,4837331,329031,81
333999,5403300,334008,4959796,4959796,334014,37
339033,5528448,339042,772540,772540,339048,37
344019,5431368,344027,772540,772540,344032,39
348999,5394804,349005,814299,814299,349011,30
354029,5440972,354039,626384,626384,354051,37
359011,5439832,359018,772540,772540,359024,36
364003,5330684,364023,751661,751661,364030,37
369032,5443836,369040,772540,772540,369047,37
374013,5371584,374021,772540,772540,374029,37
378998,5303808,379004,772540,772540,379016,38
384029,5417700,384039,793420,793420,384048,39
389007,5308180,389015,814299,814299,389021,37
394040,5369332,394050,772540,772540,394057,77
399018,5324824,399025,4714867,4714867,399032,78
403998,5367728,404009,4776099,4776099,404026,73
409027,5362532,409034,4469939,4469939,409039,78
414007,5423200,414017,4776099,4776099,414023,79
419038,5408560,419047,4837331,4837331,419055,82
424020,5454924,424031,5021028,5021028,424047,79
429001,5305328,429009,4837331,4837331,429018,87
434034,5355604,434041,5327188,5327188,434049,83
439014,5320668,439021,5082260,5082260,439028,86
444003,5457364,444014,5265956,5265956,444022,81
449033,5401992,449040,4959796,4959796,449049,82
454018,5471524,454026,5021028,5021028,454031,30
459048,5397220,459056,626384,626384,459063,33
464028,5523684,464038,689022,689022,464046,32
469017,5462556,469029,668143,668143,469036,24
474046,5391468,474053,501107,501107,474059,29
479029,5524948,479036,605504,605504,479043,33
484014,5460196,484025,689022,689022,484029,32
489043,5410180,489051,668143,668143,489060,33
494027,5436884,494035,689022,689022,494043,34
499056,5503364,499064,709902,709902,499071,30
504038,5422712,504043,626384,626384,504052,31
509020,5522436,509028,647263,647263,509035,29
514051,5271100,514059,1775729,1775729,514066,51
519033,5363976,519040,2083921,2083921,519047,89
524023,5268864,524037,5449652,5449652,524047,80
529056,5396616,529062,4898564,4898564,529070,81
534039,5379224,534049,4959796,4959796,534057,80
539020,5412304,539028,4898564,4898564,539035,83
544052,5320192,544061,5082260,5082260,544068,81
549029,5368440,549040,4959796,4959796,549048,84
554065,5375816,554072,5143492,5143492,554080,79
559049,5367888,559056,4837331,4837331,559063,84
564023,5265496,564031,5143492,5143492,564045,84
569065,5320272,569077,5143492,5143492,569090,77
574047,5322168,574055,4714867,4714867,574062,29
579032,5395764,579040,1184974,1184974,579047,32
584060,5352472,584065,668143,668143,584071,31
589046,5371272,589053,647263,647263,589061,27
594071,5376556,594079,563745,563745,594084,31
599050,5440808,599057,1898193,1898193,599063,32
604036,5395244,604042,668143,668143,604047,32
609068,5431808,609079,668143,668143,609088,32
614048,5491500,614056,668143,668143,614062,33
619045,5409548,619052,689022,689022,619058,33
624031,5437576,624040,689022,689022,624047,33
