datetime,cpu,mem
Thu Jul 23 17:37:08 UTC 2020,37,3901975
Thu Jul 23 17:37:13 UTC 2020,25,3992098
Thu Jul 23 17:37:17 UTC 2020,27,4233897
Thu Jul 23 17:37:21 UTC 2020,27,4576347
Thu Jul 23 17:37:26 UTC 2020,74,4543889
Thu Jul 23 17:37:30 UTC 2020,74,4617262
Thu Jul 23 17:37:35 UTC 2020,73,4652079
Thu Jul 23 17:37:39 UTC 2020,73,4668832
Thu Jul 23 17:37:44 UTC 2020,68,4655809
Thu Jul 23 17:37:48 UTC 2020,68,4617918
Thu Jul 23 17:37:53 UTC 2020,67,4665828
Thu Jul 23 17:37:57 UTC 2020,67,4653983
Thu Jul 23 17:38:01 UTC 2020,68,4682975
Thu Jul 23 17:38:06 UTC 2020,68,4687196
Thu Jul 23 17:38:10 UTC 2020,63,4674747
Thu Jul 23 17:38:14 UTC 2020,63,4668677
Thu Jul 23 17:38:19 UTC 2020,66,4682219
Thu Jul 23 17:38:23 UTC 2020,66,4622495
Thu Jul 23 17:38:27 UTC 2020,67,4657369
Thu Jul 23 17:38:32 UTC 2020,67,4757300
Thu Jul 23 17:38:36 UTC 2020,67,4596242
Thu Jul 23 17:38:41 UTC 2020,67,4645498
Thu Jul 23 17:38:45 UTC 2020,66,4638603
Thu Jul 23 17:38:49 UTC 2020,66,4684278
Thu Jul 23 17:38:54 UTC 2020,67,4675521
Thu Jul 23 17:38:58 UTC 2020,67,4698168
Thu Jul 23 17:39:02 UTC 2020,67,4722414
Thu Jul 23 17:39:07 UTC 2020,67,4704928
Thu Jul 23 17:39:11 UTC 2020,70,4762846
Thu Jul 23 17:39:16 UTC 2020,70,4718449
Thu Jul 23 17:39:20 UTC 2020,69,4784785
Thu Jul 23 17:39:24 UTC 2020,69,4677434
Thu Jul 23 17:39:29 UTC 2020,67,4696701
Thu Jul 23 17:39:33 UTC 2020,67,4703355
Thu Jul 23 17:39:37 UTC 2020,66,4707506
Thu Jul 23 17:39:42 UTC 2020,66,4765853
Thu Jul 23 17:39:46 UTC 2020,66,4745018
Thu Jul 23 17:39:51 UTC 2020,66,4724875
Thu Jul 23 17:39:55 UTC 2020,67,4758890
Thu Jul 23 17:39:59 UTC 2020,67,4767979
Thu Jul 23 17:40:04 UTC 2020,67,4768022
Thu Jul 23 17:40:08 UTC 2020,67,4756624
Thu Jul 23 17:40:12 UTC 2020,66,4802495
Thu Jul 23 17:40:17 UTC 2020,66,4667093
Thu Jul 23 17:40:21 UTC 2020,66,4659440
Thu Jul 23 17:40:25 UTC 2020,66,4684086
Thu Jul 23 17:40:30 UTC 2020,66,4734842
Thu Jul 23 17:40:34 UTC 2020,66,4746042
Thu Jul 23 17:40:39 UTC 2020,66,4739190
Thu Jul 23 17:40:43 UTC 2020,66,4762445
Thu Jul 23 17:40:47 UTC 2020,67,4761602
Thu Jul 23 17:40:52 UTC 2020,67,4787770
Thu Jul 23 17:40:56 UTC 2020,67,4813720
Thu Jul 23 17:41:01 UTC 2020,67,4707732
Thu Jul 23 17:41:05 UTC 2020,68,4667605
Thu Jul 23 17:41:09 UTC 2020,68,4725597
Thu Jul 23 17:41:14 UTC 2020,65,4754142
Thu Jul 23 17:41:18 UTC 2020,65,4681233
Thu Jul 23 17:41:23 UTC 2020,67,4753415
Thu Jul 23 17:41:27 UTC 2020,67,4752572
Thu Jul 23 17:41:31 UTC 2020,65,4793945
Thu Jul 23 17:41:36 UTC 2020,65,4766353
Thu Jul 23 17:41:40 UTC 2020,65,4792274
Thu Jul 23 17:41:44 UTC 2020,65,4759111
Thu Jul 23 17:41:49 UTC 2020,66,4736178
Thu Jul 23 17:41:53 UTC 2020,66,4607478
Thu Jul 23 17:41:57 UTC 2020,65,4744146
Thu Jul 23 17:42:02 UTC 2020,65,4699072
Thu Jul 23 17:42:06 UTC 2020,66,4728055
Thu Jul 23 17:42:11 UTC 2020,66,4701491
Thu Jul 23 17:42:15 UTC 2020,66,4743333
Thu Jul 23 17:42:19 UTC 2020,67,4776993
Thu Jul 23 17:42:24 UTC 2020,67,4741986
Thu Jul 23 17:42:28 UTC 2020,67,4751296
Thu Jul 23 17:42:32 UTC 2020,67,4780971
Thu Jul 23 17:42:37 UTC 2020,67,4656261
Thu Jul 23 17:42:41 UTC 2020,67,4649583
Thu Jul 23 17:42:46 UTC 2020,67,4674351
Thu Jul 23 17:42:50 UTC 2020,67,4696769
Thu Jul 23 17:42:54 UTC 2020,67,4745164
Thu Jul 23 17:42:59 UTC 2020,67,4749035
Thu Jul 23 17:43:03 UTC 2020,67,4746217
Thu Jul 23 17:43:07 UTC 2020,67,4772247
Thu Jul 23 17:43:12 UTC 2020,67,4810947
Thu Jul 23 17:43:16 UTC 2020,67,4811627
Thu Jul 23 17:43:21 UTC 2020,67,4846912
Thu Jul 23 17:43:25 UTC 2020,67,4881500
Thu Jul 23 17:43:29 UTC 2020,67,4650863
Thu Jul 23 17:43:34 UTC 2020,67,4713876
Thu Jul 23 17:43:38 UTC 2020,66,4669269
Thu Jul 23 17:43:43 UTC 2020,66,4694201
Thu Jul 23 17:43:47 UTC 2020,66,4748004
Thu Jul 23 17:43:51 UTC 2020,66,4721935
Thu Jul 23 17:43:56 UTC 2020,66,4760632
Thu Jul 23 17:44:00 UTC 2020,66,4718835
Thu Jul 23 17:44:05 UTC 2020,67,4772623
Thu Jul 23 17:44:09 UTC 2020,67,4756232
Thu Jul 23 17:44:13 UTC 2020,67,4803478
Thu Jul 23 17:44:18 UTC 2020,67,4675466
Thu Jul 23 17:44:22 UTC 2020,66,4677998
Thu Jul 23 17:44:26 UTC 2020,66,4702989
Thu Jul 23 17:44:31 UTC 2020,63,4725053
Thu Jul 23 17:44:35 UTC 2020,63,4751796
Thu Jul 23 17:44:40 UTC 2020,64,4813584
Thu Jul 23 17:44:44 UTC 2020,64,4759407
Thu Jul 23 17:44:48 UTC 2020,63,4766747
Thu Jul 23 17:44:53 UTC 2020,63,4775508
Thu Jul 23 17:44:57 UTC 2020,67,4786279
Thu Jul 23 17:45:01 UTC 2020,67,4829629
