Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%]
3954,5169752,3985,0,0,3994,11
8986,5315004,9002,449473,449473,9015,19
13968,5472824,13978,396710,396710,13986,51
18954,5438920,18966,1064853,1064853,18974,47
23991,5487116,24003,981335,981335,24011,58
28975,5528820,28987,2369949,2369949,28995,65
33957,5481456,33975,2655978,2655978,33984,57
38992,5423456,39005,2329088,2329088,39011,49
43985,5421380,43995,3000370,3000370,44004,61
48971,5490224,48982,3735155,3735155,48995,72
54004,5464636,54019,2942006,2942006,54023,71
58994,5506536,59007,2901145,2901145,59016,79
63983,5527348,63995,4837331,4837331,64006,57
68967,5506396,68979,3490226,3490226,68988,58
73998,5437164,74012,2369949,2369949,74022,35
78988,5455648,79002,730781,730781,79012,58
83976,5466884,83987,2369949,2369949,83997,53
88960,5400032,88972,3245298,3245298,88984,47
94007,5397244,94020,981335,981335,94030,62
98995,5409576,99007,2533394,2533394,99016,60
103980,5444476,103994,3673923,3673923,104005,46
108968,5458700,108980,960455,960455,108992,67
114010,5481312,114022,1398925,1398925,114031,59
119003,5469148,119018,1231889,1231889,119029,62
123990,5487788,124001,2533394,2533394,124010,59
128973,5514676,128984,1231889,1231889,128994,48
134012,5390480,134028,1002214,1002214,134040,61
138994,5444028,139004,2492533,2492533,139013,46
143977,5434600,143988,960455,960455,143998,38
149014,5430672,149026,793420,793420,149034,28
154002,5394800,154015,584625,584625,154027,34
158992,5420300,159000,709902,709902,159011,40
163977,5471348,163991,835179,835179,163998,36
169012,5442496,169024,751661,751661,169034,38
173995,5461880,174005,793420,793420,174013,38
178986,5465848,179001,793420,793420,179010,55
184020,5432296,184033,1148371,1148371,184044,53
189010,5368272,189019,1106612,1106612,189029,56
193997,5407944,194008,1169250,1169250,194017,35
198986,5397680,198994,730781,730781,199002,31
204023,5419620,204033,647263,647263,204042,61
209008,5428184,209018,2492533,2492533,209025,58
214001,5461244,214016,1211009,1211009,214027,45
218991,5479216,219002,939576,939576,219010,59
223977,5500740,223989,2410810,2410810,223999,60
229009,5502216,229017,1252768,1252768,229026,45
233998,5337512,234008,939576,939576,234016,33
238980,5360800,238992,689022,689022,239002,38
244014,5393412,244022,793420,793420,244031,34
249005,5344192,249015,709902,709902,249023,34
253991,5388680,254001,2081889,2081889,254009,31
259027,5382212,259039,647263,647263,259048,28
264011,5411420,264021,584625,584625,264029,33
268994,5511964,269003,689022,689022,269011,36
273982,5412760,273992,751661,751661,273999,42
279020,5421412,279034,876938,876938,279046,48
284004,5290824,284015,1002214,1002214,284026,38
288988,5311924,288999,2326817,2326817,289013,54
294026,5392764,294038,1127491,1127491,294049,52
299015,5381892,299025,1085732,1085732,299035,54
304006,5376804,304015,2206504,2206504,304023,59
308997,5418528,309006,2410810,2410810,309014,53
314028,5424988,314037,3245298,3245298,314046,55
319010,5420304,319018,2247366,2247366,319026,49
323993,5433932,324003,3000370,3000370,324011,56
329029,5354632,329043,2288227,2288227,329057,61
334011,5364072,334026,3735155,3735155,334035,57
339041,5359340,339051,2329088,2329088,339062,63
344024,5374228,344035,2574255,2574255,344045,49
349003,5411808,349011,1023094,1023094,349020,46
353994,5390304,354014,1879615,1879615,354020,45
359029,5433936,359037,2755442,2755442,359043,66
364014,5501508,364024,1378045,1378045,364032,49
369004,5427032,369015,1023094,1023094,369024,56
374040,5469340,374048,1169250,1169250,374055,61
379025,5329272,379034,1273648,1273648,379042,61
384007,5334540,384018,2492533,2492533,384028,37
389040,5309216,389050,772540,772540,389059,38
394021,5359504,394031,793420,793420,394041,52
399001,5414176,399014,1085732,1085732,399023,36
404030,5439388,404042,751661,751661,404051,61
409015,5474780,409023,1273648,1273648,409031,39
414050,5401836,414059,814299,814299,414068,60
419030,5452692,419040,1252768,1252768,419049,59
424014,5472324,424022,2410810,2410810,424030,53
429048,5341888,429055,2165643,2165643,429062,53
434032,5362664,434040,2165643,2165643,434047,67
439016,5347868,439027,2737700,2737700,439038,67
444054,5408664,444062,2737700,2737700,444069,57
449031,5420348,449040,2329088,2329088,449049,46
454009,5453756,454017,2816674,2816674,454024,55
459037,5417772,459048,1148371,1148371,459057,58
464018,5437964,464028,1211009,1211009,464037,67
469050,5474828,469058,2737700,2737700,469066,58
474032,5465040,474042,1211009,1211009,474050,61
479014,5475524,479027,2492533,2492533,479035,69
484044,5297104,484055,2819423,2819423,484066,64
489033,5334100,489061,2615116,2615116,489072,70
494010,5362172,494018,2860284,2860284,494026,69
499039,5389108,499047,2819423,2819423,499054,70
504020,5377652,504029,2860284,2860284,504036,62
509049,5410112,509058,2533394,2533394,509064,76
514032,5437952,514040,4653635,4653635,514046,66
519018,5412128,519027,2696839,2696839,519034,68
524049,5475784,524058,1419804,1419804,524066,49
529029,5449884,529038,1023094,1023094,529047,59
534053,5375552,534062,1231889,1231889,534071,59
539032,5389084,539046,1231889,1231889,539055,44
544065,5384968,544073,918697,918697,544084,53
549044,5374100,549056,1106612,1106612,549068,48
554026,5387900,554036,1961337,1961337,554046,51
559056,5392536,559069,2083921,2083921,559080,52
564034,5458344,564037,2124782,2124782,564044,73
569020,5463932,569031,2982867,2982867,569038,67
574052,5463536,574060,4102547,4102547,574067,71
579034,5463712,579043,4347475,4347475,579050,71
584064,5483724,584074,2901145,2901145,584081,72
589044,5482152,589053,2942006,2942006,589069,46
594029,5368508,594043,960455,960455,594051,55
599062,5370276,599077,1148371,1148371,599088,57
604047,5399572,604056,3490226,3490226,604063,72
609025,5436424,609037,2942006,2942006,609046,65
614063,5501612,614074,2655978,2655978,614083,54
619041,5430020,619049,2206504,2206504,619056,62
624073,5471396,624082,3796387,3796387,624089,73
