datetime,cpu,mem
Thu Jul 23 18:02:44 UTC 2020,12,3785057
Thu Jul 23 18:02:48 UTC 2020,22,3753274
Thu Jul 23 18:02:52 UTC 2020,22,4120316
Thu Jul 23 18:02:57 UTC 2020,48,4450717
Thu Jul 23 18:03:01 UTC 2020,48,4456092
Thu Jul 23 18:03:05 UTC 2020,76,4502804
Thu Jul 23 18:03:10 UTC 2020,76,4509270
Thu Jul 23 18:03:14 UTC 2020,75,4556760
Thu Jul 23 18:03:18 UTC 2020,75,4581254
Thu Jul 23 18:03:22 UTC 2020,69,4460115
Thu Jul 23 18:03:27 UTC 2020,69,4554126
Thu Jul 23 18:03:31 UTC 2020,66,4593394
Thu Jul 23 18:03:35 UTC 2020,66,4575743
Thu Jul 23 18:03:39 UTC 2020,67,4637644
Thu Jul 23 18:03:44 UTC 2020,67,4616608
Thu Jul 23 18:03:48 UTC 2020,67,4703127
Thu Jul 23 18:03:52 UTC 2020,67,4703599
Thu Jul 23 18:03:56 UTC 2020,67,4699406
Thu Jul 23 18:04:01 UTC 2020,67,4740845
Thu Jul 23 18:04:05 UTC 2020,69,4704663
Thu Jul 23 18:04:09 UTC 2020,69,4575829
Thu Jul 23 18:04:13 UTC 2020,66,4598953
Thu Jul 23 18:04:18 UTC 2020,66,4606643
Thu Jul 23 18:04:22 UTC 2020,67,4630886
Thu Jul 23 18:04:26 UTC 2020,67,4633223
Thu Jul 23 18:04:30 UTC 2020,66,4689355
Thu Jul 23 18:04:35 UTC 2020,66,4654926
Thu Jul 23 18:04:39 UTC 2020,66,4702659
Thu Jul 23 18:04:43 UTC 2020,66,4713324
Thu Jul 23 18:04:48 UTC 2020,67,4710572
Thu Jul 23 18:04:52 UTC 2020,67,4718443
Thu Jul 23 18:04:56 UTC 2020,66,4710409
Thu Jul 23 18:05:01 UTC 2020,66,4588934
Thu Jul 23 18:05:05 UTC 2020,70,4583605
Thu Jul 23 18:05:09 UTC 2020,70,4591001
Thu Jul 23 18:05:14 UTC 2020,67,4606454
Thu Jul 23 18:05:18 UTC 2020,67,4647288
Thu Jul 23 18:05:22 UTC 2020,67,4636575
Thu Jul 23 18:05:26 UTC 2020,67,4725780
Thu Jul 23 18:05:31 UTC 2020,66,4654871
Thu Jul 23 18:05:35 UTC 2020,66,4714880
Thu Jul 23 18:05:39 UTC 2020,67,4674225
Thu Jul 23 18:05:44 UTC 2020,67,4680145
Thu Jul 23 18:05:48 UTC 2020,67,4582169
Thu Jul 23 18:05:52 UTC 2020,67,4573991
Thu Jul 23 18:05:57 UTC 2020,68,4618417
Thu Jul 23 18:06:01 UTC 2020,68,4610788
Thu Jul 23 18:06:05 UTC 2020,67,4601830
Thu Jul 23 18:06:09 UTC 2020,67,4657351
Thu Jul 23 18:06:14 UTC 2020,67,4619403
Thu Jul 23 18:06:18 UTC 2020,67,4684373
Thu Jul 23 18:06:22 UTC 2020,67,4662985
Thu Jul 23 18:06:27 UTC 2020,67,4675232
Thu Jul 23 18:06:31 UTC 2020,67,4654300
Thu Jul 23 18:06:35 UTC 2020,67,4607490
Thu Jul 23 18:06:39 UTC 2020,67,4586279
Thu Jul 23 18:06:43 UTC 2020,67,4641537
Thu Jul 23 18:06:48 UTC 2020,67,4621199
Thu Jul 23 18:06:52 UTC 2020,67,4633815
Thu Jul 23 18:06:56 UTC 2020,66,4631473
Thu Jul 23 18:07:01 UTC 2020,66,4711092
Thu Jul 23 18:07:05 UTC 2020,68,4685049
Thu Jul 23 18:07:09 UTC 2020,68,4666117
Thu Jul 23 18:07:13 UTC 2020,63,4695592
Thu Jul 23 18:07:17 UTC 2020,64,4687734
Thu Jul 23 18:07:22 UTC 2020,64,4711626
Thu Jul 23 18:07:26 UTC 2020,72,4546474
Thu Jul 23 18:07:30 UTC 2020,72,4578865
Thu Jul 23 18:07:34 UTC 2020,66,4576555
Thu Jul 23 18:07:38 UTC 2020,66,4600525
Thu Jul 23 18:07:43 UTC 2020,64,4627222
Thu Jul 23 18:07:47 UTC 2020,64,4650742
Thu Jul 23 18:07:51 UTC 2020,65,4691806
Thu Jul 23 18:07:56 UTC 2020,65,4739290
Thu Jul 23 18:08:00 UTC 2020,70,4744972
Thu Jul 23 18:08:04 UTC 2020,70,4752072
Thu Jul 23 18:08:09 UTC 2020,67,4725248
Thu Jul 23 18:08:13 UTC 2020,67,4753685
Thu Jul 23 18:08:17 UTC 2020,68,4647525
Thu Jul 23 18:08:21 UTC 2020,68,4626550
Thu Jul 23 18:08:26 UTC 2020,67,4670957
Thu Jul 23 18:08:30 UTC 2020,67,4662837
Thu Jul 23 18:08:34 UTC 2020,66,4665760
Thu Jul 23 18:08:39 UTC 2020,66,4707269
Thu Jul 23 18:08:43 UTC 2020,67,4758191
Thu Jul 23 18:08:47 UTC 2020,67,4742975
Thu Jul 23 18:08:51 UTC 2020,67,4735038
Thu Jul 23 18:08:56 UTC 2020,67,4787428
Thu Jul 23 18:09:00 UTC 2020,67,4780866
Thu Jul 23 18:09:04 UTC 2020,67,4624500
Thu Jul 23 18:09:09 UTC 2020,68,4660267
Thu Jul 23 18:09:13 UTC 2020,68,4641567
Thu Jul 23 18:09:17 UTC 2020,68,4674750
Thu Jul 23 18:09:21 UTC 2020,68,4674655
Thu Jul 23 18:09:26 UTC 2020,67,4716401
Thu Jul 23 18:09:30 UTC 2020,67,4722587
Thu Jul 23 18:09:34 UTC 2020,66,4700194
Thu Jul 23 18:09:38 UTC 2020,66,4741073
Thu Jul 23 18:09:43 UTC 2020,67,4716097
Thu Jul 23 18:09:47 UTC 2020,67,4768372
Thu Jul 23 18:09:51 UTC 2020,67,4716070
Thu Jul 23 18:09:56 UTC 2020,67,4653451
Thu Jul 23 18:10:00 UTC 2020,67,4699704
Thu Jul 23 18:10:04 UTC 2020,67,4679693
Thu Jul 23 18:10:08 UTC 2020,67,4725027
Thu Jul 23 18:10:13 UTC 2020,67,4731391
Thu Jul 23 18:10:17 UTC 2020,67,4743972
Thu Jul 23 18:10:21 UTC 2020,67,4755101
Thu Jul 23 18:10:26 UTC 2020,67,4768960
Thu Jul 23 18:10:30 UTC 2020,67,4761997
Thu Jul 23 18:10:34 UTC 2020,67,4806106
Thu Jul 23 18:10:38 UTC 2020,67,4726737
Thu Jul 23 18:10:43 UTC 2020,67,4678492
Thu Jul 23 18:10:47 UTC 2020,67,4732594
Thu Jul 23 18:10:51 UTC 2020,67,4742561
Thu Jul 23 18:10:56 UTC 2020,67,4708306
Thu Jul 23 18:11:00 UTC 2020,67,4781997
Thu Jul 23 18:11:04 UTC 2020,68,4765811
Thu Jul 23 18:11:09 UTC 2020,68,4766589
Thu Jul 23 18:11:13 UTC 2020,67,4811156
Thu Jul 23 18:11:17 UTC 2020,67,4786955
Thu Jul 23 18:11:22 UTC 2020,69,4804057
Thu Jul 23 18:11:26 UTC 2020,69,4686007
Thu Jul 23 18:11:30 UTC 2020,68,4695693
Thu Jul 23 18:11:34 UTC 2020,68,4703741
Thu Jul 23 18:11:39 UTC 2020,67,4684745
Thu Jul 23 18:11:43 UTC 2020,67,4736184
Thu Jul 23 18:11:47 UTC 2020,66,4692453
Thu Jul 23 18:11:52 UTC 2020,66,4730686
Thu Jul 23 18:11:56 UTC 2020,63,4710239
Thu Jul 23 18:12:00 UTC 2020,63,4741535
Thu Jul 23 18:12:04 UTC 2020,64,4721226
Thu Jul 23 18:12:08 UTC 2020,64,4726590
Thu Jul 23 18:12:13 UTC 2020,62,4802516
Thu Jul 23 18:12:17 UTC 2020,62,4764172
Thu Jul 23 18:12:21 UTC 2020,67,4669800
Thu Jul 23 18:12:25 UTC 2020,67,4733674
Thu Jul 23 18:12:30 UTC 2020,66,4683160
Thu Jul 23 18:12:34 UTC 2020,66,4730676
Thu Jul 23 18:12:38 UTC 2020,68,4712043
Thu Jul 23 18:12:42 UTC 2020,68,4703623
Thu Jul 23 18:12:47 UTC 2020,67,4687458
Thu Jul 23 18:12:51 UTC 2020,67,4731392
Thu Jul 23 18:12:55 UTC 2020,67,4749784
Thu Jul 23 18:12:59 UTC 2020,67,4755991
Thu Jul 23 18:13:04 UTC 2020,68,4636419
Thu Jul 23 18:13:08 UTC 2020,68,4666399
Thu Jul 23 18:13:12 UTC 2020,67,4646311
Thu Jul 23 18:13:17 UTC 2020,67,4692137
Thu Jul 23 18:13:21 UTC 2020,68,4517788
