Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%]
3998,4985640,4031,0,0,4039,11
9032,5089808,9047,449473,449473,9061,39
14016,5247828,14037,814299,814299,14049,51
19003,5260728,19014,1064853,1064853,19022,51
24037,5313536,24050,1064853,1064853,24060,51
29022,5359048,29031,1064853,1064853,29040,32
34009,5355464,34020,1307558,1307558,34029,30
39043,5282508,39054,626384,626384,39066,29
44031,5369544,44044,605504,605504,44053,39
49022,5388892,49034,814299,814299,49044,43
54008,5381312,54026,897817,897817,54034,37
59043,5366480,59055,772540,772540,59062,54
64026,5395028,64036,1127491,1127491,64046,52
69012,5412140,69026,1085732,1085732,69036,41
74057,5427796,74072,856058,856058,74082,57
79046,5405920,79061,2329088,2329088,79071,48
84029,5280784,84041,1002214,1002214,84050,60
89020,5331920,89032,2451672,2451672,89043,54
94050,5346632,94062,2206504,2206504,94072,56
99043,5350596,99054,1169250,1169250,99065,45
104028,5382316,104038,939576,939576,104052,49
109065,5348772,109078,1023094,1023094,109089,47
114049,5413784,114063,981335,981335,114076,45
119035,5438324,119046,939576,939576,119056,54
124019,5410272,124029,1127491,1127491,124039,55
129052,5481820,129064,2247366,2247366,129072,39
134040,5445648,134069,814299,814299,134086,38
139030,5319136,139041,793420,793420,139051,36
144065,5274508,144076,1471003,1471003,144085,49
149056,5309096,149067,2002198,2002198,149078,51
154041,5368392,154051,3122834,3122834,154063,52
159025,5379268,159035,2124782,2124782,159046,56
164056,5390328,164064,1169250,1169250,164073,67
169041,5409948,169052,1398925,1398925,169062,38
174027,5379408,174038,793420,793420,174054,54
179062,5402320,179072,2206504,2206504,179081,48
184049,5285300,184060,1002214,1002214,184069,50
189035,5322384,189048,1043973,1043973,189056,61
194071,5334332,194081,1273648,1273648,194088,48
199058,5407628,199068,1961337,1961337,199076,42
204048,5362936,204061,876938,876938,204072,51
209033,5363340,209045,1064853,1064853,209053,62
214076,5351608,214090,3796387,3796387,214101,53
219060,5386612,219068,2165643,2165643,219075,44
224051,5403820,224060,918697,918697,224069,60
229038,5288784,229048,2451672,2451672,229056,64
234074,5288836,234085,1336286,1336286,234101,53
239056,5360772,239068,2165643,2165643,239076,47
244046,5359036,244051,1920476,1920476,244056,61
249032,5366096,249049,2492533,2492533,249054,58
254069,5435180,254079,1211009,1211009,254088,46
259054,5380176,259062,960455,960455,259071,49
264035,5378112,264044,2002198,2002198,264051,65
269077,5422416,269086,2655978,2655978,269093,65
274060,5409704,274070,2655978,2655978,274076,65
279047,5431976,279058,2655978,2655978,279066,65
284082,5273580,284093,2655978,2655978,284101,66
289075,5283736,289085,2696839,2696839,289094,64
294062,5297208,294074,2615116,2615116,294083,64
299058,5370180,299066,2615116,2615116,299074,65
304042,5419648,304050,2655978,2655978,304058,49
309076,5444400,309087,1023094,1023094,309094,47
314058,5437084,314071,981335,981335,314078,56
319039,5488712,319047,2288227,2288227,319055,62
324070,5459132,324075,1294527,1294527,324080,45
329054,5386612,329063,2755442,2755442,329072,57
334083,5346648,334097,1190130,1190130,334108,48
339066,5395424,339075,1002214,1002214,339083,57
344045,5416064,344054,2329088,2329088,344063,60
349081,5425784,349090,2451672,2451672,349097,53
354061,5433152,354068,1106612,1106612,354075,61
359093,5441504,359097,2492533,2492533,359104,47
364077,5440256,364090,981335,981335,364100,49
369060,5445444,369072,1023094,1023094,369084,44
374093,5460124,374103,1797892,1797892,374110,49
379074,5464572,379086,2002198,2002198,379093,56
384056,5370108,384066,1169250,1169250,384075,47
389089,5366032,389101,2877906,2877906,389107,50
394075,5368064,394085,1043973,1043973,394094,57
399058,5380068,399068,1190130,1190130,399086,53
404098,5386724,404107,1106612,1106612,404114,50
409079,5453032,409087,2043060,2043060,409096,63
414055,5458292,414065,1315407,1315407,414073,58
419088,5485956,419097,2369949,2369949,419105,38
424075,5377316,424082,793420,793420,424090,39
429068,5402848,429078,814299,814299,429085,51
434054,5381252,434064,2083921,2083921,434075,45
439090,5383840,439095,939576,939576,439103,41
444072,5449784,444080,1675309,1675309,444088,58
449056,5475972,449064,2369949,2369949,449075,43
454089,5463648,454105,2632978,2632978,454113,61
459070,5452456,459080,2492533,2492533,459089,57
464101,5483068,464112,2329088,2329088,464121,33
469077,5496540,469086,689022,689022,469094,74
474106,5431956,474115,3023729,3023729,474122,34
479096,5390724,479108,709902,709902,479118,47
484082,5433688,484091,981335,981335,484110,46
489110,5429436,489119,960455,960455,489126,47
494092,5454820,494100,981335,981335,494108,53
499075,5433888,499084,1106612,1106612,499092,51
504103,5449648,504111,3122834,3122834,504120,49
509084,5519832,509093,2002198,2002198,509101,57
514069,5515612,514082,1190130,1190130,514091,58
519104,5380584,519113,1211009,1211009,519120,46
524083,5388964,524091,960455,960455,524101,36
529068,5360460,529078,1471003,1471003,529090,59
534097,5368596,534107,2410810,2410810,534116,59
539087,5368368,539098,1231889,1231889,539108,61
544071,5399828,544077,2492533,2492533,544084,62
549101,5389948,549109,2533394,2533394,549116,63
554082,5441108,554089,2574255,2574255,554093,66
559114,5415112,559121,2696839,2696839,559127,63
564087,5426424,564097,2574255,2574255,564105,64
569117,5516656,569135,2615116,2615116,569144,61
574113,5355644,574122,2492533,2492533,574130,41
579097,5433632,579109,2510514,2510514,579128,51
584080,5420056,584089,1064853,1064853,584096,54
589114,5410644,589124,1127491,1127491,589132,63
594094,5440532,594103,1315407,1315407,594111,53
599126,5388972,599136,1106612,1106612,599143,61
604108,5453484,604118,1273648,1273648,604125,49
609089,5415512,609099,1023094,1023094,609107,46
614123,5487164,614132,960455,960455,614139,47
619106,5352428,619115,981335,981335,619123,50
624087,5374892,624096,1043973,1043973,624104,43
629118,5386472,629128,897817,897817,629139,46
634101,5405784,634109,960455,960455,634116,56
