datetime,cpu,mem
Thu Jul 23 17:50:24 UTC 2020,10,3860343
Thu Jul 23 17:50:29 UTC 2020,27,3854521
Thu Jul 23 17:50:33 UTC 2020,27,4369143
Thu Jul 23 17:50:37 UTC 2020,54,4504815
Thu Jul 23 17:50:42 UTC 2020,54,4523571
Thu Jul 23 17:50:46 UTC 2020,75,4556878
Thu Jul 23 17:50:51 UTC 2020,75,4554632
Thu Jul 23 17:50:55 UTC 2020,69,4641112
Thu Jul 23 17:50:59 UTC 2020,69,4655410
Thu Jul 23 17:51:04 UTC 2020,67,4606143
Thu Jul 23 17:51:08 UTC 2020,67,4761268
Thu Jul 23 17:51:13 UTC 2020,78,4748609
Thu Jul 23 17:51:18 UTC 2020,78,4790808
Thu Jul 23 17:51:22 UTC 2020,68,4776002
Thu Jul 23 17:51:27 UTC 2020,68,4779162
Thu Jul 23 17:51:31 UTC 2020,64,4768702
Thu Jul 23 17:51:36 UTC 2020,64,4755863
Thu Jul 23 17:51:40 UTC 2020,62,4801554
Thu Jul 23 17:51:45 UTC 2020,62,4797445
Thu Jul 23 17:51:49 UTC 2020,63,4817115
Thu Jul 23 17:51:53 UTC 2020,63,4796761
Thu Jul 23 17:51:58 UTC 2020,61,4757404
Thu Jul 23 17:52:02 UTC 2020,61,4664703
Thu Jul 23 17:52:07 UTC 2020,58,4655201
Thu Jul 23 17:52:11 UTC 2020,56,4692081
Thu Jul 23 17:52:15 UTC 2020,56,4670880
Thu Jul 23 17:52:20 UTC 2020,57,4687751
Thu Jul 23 17:52:24 UTC 2020,57,4707734
Thu Jul 23 17:52:28 UTC 2020,57,4712999
Thu Jul 23 17:52:33 UTC 2020,57,4753554
Thu Jul 23 17:52:37 UTC 2020,56,4665796
Thu Jul 23 17:52:41 UTC 2020,56,4713560
Thu Jul 23 17:52:46 UTC 2020,56,4684427
Thu Jul 23 17:52:50 UTC 2020,56,4721859
Thu Jul 23 17:52:54 UTC 2020,56,4710073
Thu Jul 23 17:52:59 UTC 2020,56,4736557
Thu Jul 23 17:53:04 UTC 2020,74,4690086
Thu Jul 23 17:53:08 UTC 2020,74,4758900
Thu Jul 23 17:53:13 UTC 2020,67,4695426
Thu Jul 23 17:53:17 UTC 2020,67,4707905
Thu Jul 23 17:53:21 UTC 2020,62,4666744
Thu Jul 23 17:53:26 UTC 2020,62,4717661
Thu Jul 23 17:53:30 UTC 2020,63,4679252
Thu Jul 23 17:53:35 UTC 2020,63,4747974
Thu Jul 23 17:53:39 UTC 2020,67,4708018
Thu Jul 23 17:53:44 UTC 2020,67,4767441
Thu Jul 23 17:53:48 UTC 2020,66,4674230
Thu Jul 23 17:53:52 UTC 2020,66,4689426
Thu Jul 23 17:53:57 UTC 2020,67,4731144
Thu Jul 23 17:54:01 UTC 2020,67,4652790
Thu Jul 23 17:54:06 UTC 2020,67,4604885
Thu Jul 23 17:54:10 UTC 2020,67,4641968
Thu Jul 23 17:54:14 UTC 2020,65,4628269
Thu Jul 23 17:54:18 UTC 2020,65,4616728
Thu Jul 23 17:54:23 UTC 2020,55,4664433
Thu Jul 23 17:54:27 UTC 2020,55,4619176
Thu Jul 23 17:54:31 UTC 2020,51,4650787
Thu Jul 23 17:54:35 UTC 2020,51,4642201
Thu Jul 23 17:54:39 UTC 2020,50,4685237
Thu Jul 23 17:54:43 UTC 2020,50,4650257
Thu Jul 23 17:54:47 UTC 2020,50,4685278
Thu Jul 23 17:54:51 UTC 2020,50,4675457
Thu Jul 23 17:54:56 UTC 2020,51,4719134
Thu Jul 23 17:55:00 UTC 2020,51,4692067
Thu Jul 23 17:55:04 UTC 2020,52,4713310
Thu Jul 23 17:55:08 UTC 2020,52,4691135
Thu Jul 23 17:55:12 UTC 2020,52,4738080
Thu Jul 23 17:55:16 UTC 2020,52,4594052
Thu Jul 23 17:55:20 UTC 2020,55,4613739
Thu Jul 23 17:55:25 UTC 2020,55,4663731
Thu Jul 23 17:55:29 UTC 2020,65,4655931
Thu Jul 23 17:55:33 UTC 2020,65,4639553
Thu Jul 23 17:55:37 UTC 2020,62,4688425
Thu Jul 23 17:55:42 UTC 2020,62,4684370
Thu Jul 23 17:55:46 UTC 2020,62,4671595
Thu Jul 23 17:55:50 UTC 2020,62,4711326
Thu Jul 23 17:55:54 UTC 2020,62,4728318
Thu Jul 23 17:55:58 UTC 2020,62,4712651
Thu Jul 23 17:56:03 UTC 2020,62,4692686
Thu Jul 23 17:56:07 UTC 2020,62,4752276
Thu Jul 23 17:56:11 UTC 2020,63,4745562
Thu Jul 23 17:56:15 UTC 2020,63,4604776
Thu Jul 23 17:56:20 UTC 2020,63,4574364
Thu Jul 23 17:56:24 UTC 2020,63,4592442
Thu Jul 23 17:56:28 UTC 2020,62,4618584
Thu Jul 23 17:56:32 UTC 2020,62,4603124
Thu Jul 23 17:56:36 UTC 2020,56,4640751
Thu Jul 23 17:56:40 UTC 2020,56,4629783
Thu Jul 23 17:56:44 UTC 2020,58,4672443
Thu Jul 23 17:56:49 UTC 2020,58,4651840
Thu Jul 23 17:56:53 UTC 2020,56,4684428
