Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%]
4046,4852364,4075,0,0,4079,11
9031,5069840,9038,449473,449473,9054,35
14011,5195572,14021,730781,730781,14029,50
19001,5202264,19012,1043973,1043973,19020,51
24038,5202776,24050,1064853,1064853,24060,47
29030,5292944,29041,981335,981335,29050,36
34013,5274032,34030,751661,751661,34046,55
39048,5166664,39058,2247366,2247366,39069,59
44042,5378368,44058,3612690,3612690,44068,48
49040,5423192,49063,2939138,2939138,49073,67
54027,5401412,54038,2737700,2737700,54047,54
59016,5437404,59029,2206504,2206504,59036,52
64054,5429608,64065,1085732,1085732,64073,59
69043,5430544,69056,2410810,2410810,69066,59
74030,5426604,74041,2410810,2410810,74050,69
79019,5431296,79030,2819423,2819423,79040,63
84058,5497892,84079,2574255,2574255,84089,59
89045,5481620,89055,1231889,1231889,89063,39
94029,5374280,94047,814299,814299,94054,40
99016,5374232,99028,835179,835179,99037,40
104049,5364104,104060,835179,835179,104069,40
109035,5413016,109048,835179,835179,109056,40
114030,5374428,114043,835179,835179,114054,40
119062,5393376,119073,835179,835179,119084,40
124050,5409352,124054,835179,835179,124061,40
129033,5383980,129044,835179,835179,129052,39
134065,5434816,134075,814299,814299,134083,40
139049,5424524,139058,835179,835179,139063,39
144032,5470436,144042,814299,814299,144051,39
149064,5448764,149077,814299,814299,149085,39
154063,5512132,154084,814299,814299,154119,27
159054,5385936,159061,563745,563745,159068,55
164043,5414832,164053,3367762,3367762,164062,36
169030,5418592,169040,751661,751661,169050,65
174069,5384536,174080,2655978,2655978,174095,55
179059,5459504,179070,3367762,3367762,179078,60
184045,5473108,184054,3673923,3673923,184063,41
189031,5486136,189041,856058,856058,189052,47
194076,5436020,194087,981335,981335,194096,58
199061,5520512,199075,2369949,2369949,199084,44
204049,5492928,204056,1797892,1797892,204064,57
209035,5463496,209047,2329088,2329088,209056,59
214072,5327432,214081,1231889,1231889,214092,49
219068,5356292,219078,1023094,1023094,219084,49
224052,5357224,224062,1023094,1023094,224070,57
229038,5356392,229047,2329088,2329088,229055,40
234076,5357060,234084,835179,835179,234092,40
239062,5408408,239075,835179,835179,239086,39
244046,5365920,244055,814299,814299,244064,39
249031,5361200,249039,814299,814299,249047,40
254073,5415364,254084,835179,835179,254091,40
259055,5390884,259065,835179,835179,259072,40
264048,5391380,264061,835179,835179,264070,40
269035,5433332,269048,835179,835179,269064,38
274070,5419400,274081,793420,793420,274090,40
279053,5451016,279067,835179,835179,279076,40
284043,5453864,284055,835179,835179,284065,39
289080,5494396,289091,814299,814299,289099,40
294067,5357876,294078,835179,835179,294088,69
299057,5362796,299065,4225011,4225011,299073,57
304041,5376436,304052,2329088,2329088,304061,60
309076,5382296,309085,2451672,2451672,309092,64
314063,5406372,314074,3918851,3918851,314084,63
319048,5414516,319056,2574255,2574255,319068,63
324089,5423632,324099,2574255,2574255,324109,65
329068,5456996,329081,2655978,2655978,329092,55
334048,5423696,334057,1148371,1148371,334064,70
339084,5407088,339095,4286243,4286243,339104,54
344069,5433636,344080,1127491,1127491,344090,63
349050,5310300,349060,2574255,2574255,349071,53
354083,5372156,354092,1106612,1106612,354102,62
359074,5340648,359083,3796387,3796387,359091,40
364050,5375404,364062,835179,835179,364070,40
369082,5363696,369096,835179,835179,369104,40
374063,5415372,374070,835179,835179,374086,40
379093,5386832,379106,835179,835179,379114,40
384072,5371828,384083,835179,835179,384091,40
389057,5423296,389068,835179,835179,389076,40
394087,5423012,394095,835179,835179,394102,40
399072,5461836,399076,835179,835179,399082,40
404057,5455916,404065,835179,835179,404072,39
409092,5436728,409101,814299,814299,409109,39
414074,5333272,414080,814299,814299,414087,40
419053,5329268,419060,835179,835179,419066,39
424084,5394652,424094,814299,814299,424102,61
429065,5381620,429069,3735155,3735155,429077,52
434054,5399172,434058,2124782,2124782,434065,60
439090,5396976,439100,2451672,2451672,439110,69
444077,5462024,444090,4225011,4225011,444100,57
449065,5504280,449076,2329088,2329088,449084,51
454098,5466884,454107,3122834,3122834,454115,67
459083,5485120,459093,4102547,4102547,459102,68
464063,5493232,464073,4163779,4163779,464082,69
469094,5506240,469102,4225011,4225011,469111,54
474072,5515408,474080,3306530,3306530,474089,41
479106,5383120,479115,856058,856058,479122,49
484087,5360984,484096,1023094,1023094,484103,40
489069,5381200,489077,835179,835179,489086,40
494094,5373084,494104,835179,835179,494113,38
499074,5412380,499086,793420,793420,499099,39
504103,5395344,504110,814299,814299,504127,40
509086,5446472,509093,835179,835179,509100,40
514069,5416976,514072,835179,835179,514090,40
519103,5463496,519108,835179,835179,519116,39
524085,5450360,524094,814299,814299,524101,40
529117,5441308,529127,835179,835179,529136,40
534101,5497192,534107,835179,835179,534113,40
539079,5336688,539089,835179,835179,539099,39
544117,5380680,544124,814299,814299,544132,40
549101,5412692,549105,835179,835179,549108,65
554082,5392736,554091,3980083,3980083,554099,61
559108,5463876,559119,2492533,2492533,559130,30
564089,5395756,564099,626384,626384,564107,37
569121,5412932,569133,772540,772540,569142,53
574103,5490376,574122,3245298,3245298,574131,48
